actual,predicted
10500000.0,10808365.079365078
38500000.0,42303333.333333336
4700000.0,4758000.0
21000000.0,21203333.333333332
11000000.0,10361666.666666666
1500000.0,1324655.5555555557
6000000.0,5473333.333333333
25500000.0,22940000.0
2600000.0,2588333.3333333335
4500000.0,5053333.333333333
29500000.0,30096666.666666668
7500000.0,7333388.888888888
3700000.0,3870269.8412698414
1600000.0,2272003.9682539683
7000000.0,6531666.666666667
6000000.0,5573333.333333333
3600000.0,3426000.0
22500000.0,22465436.50793651
25000000.0,25783333.333333332
2100000.0,2520666.6666666665
8000000.0,7520000.0
3300000.0,2678000.0
25500000.0,23523333.333333332
6000000.0,4144944.444444445
3700000.0,4450333.333333333
3500000.0,3284444.4444444445
6000000.0,5867333.333333333
1100000.0,657021.8253968253
4500000.0,4442377.777777777
7000000.0,6706666.666666667
17500000.0,16066111.11111111
20000000.0,18860000.0
29000000.0,30956666.666666668
6500000.0,5952333.333333333
19000000.0,20263333.333333332
28000000.0,28536666.666666668
24500000.0,25623333.333333332
27000000.0,24723333.333333332
2600000.0,3292000.0
9500000.0,9276666.666666666
16500000.0,16003333.333333334
30500000.0,35083333.333333336
38000000.0,34260000.0
18500000.0,19760000.0
4700000.0,5154000.0
11000000.0,8948000.0
2800000.0,3062000.0
14000000.0,13113333.333333334
7000000.0,8284888.888888888
4200000.0,3839333.3333333335
3300000.0,3225333.3333333335
35000000.0,29333333.333333332
750000.0,695000.0
4600000.0,5128000.0
14500000.0,12572666.666666666
350000.0,1002426.5873015872
30000000.0,29800000.0
3000000.0,2814000.0
16000000.0,15516666.666666666
1400000.0,1061554.3650793652
7500000.0,7202500.0
12000000.0,12353333.333333334
4000000.0,3797544.0115440115
3900000.0,4505333.333333333
12000000.0,10106666.666666666
57500000.0,63653333.333333336
23000000.0,19950000.0
3900000.0,3367261.9047619053
4100000.0,3628444.444444445
3800000.0,4042133.3333333335
30500000.0,33093333.333333332
8000000.0,7626666.666666667
9500000.0,9296666.666666666
12000000.0,8052666.666666667
8500000.0,7942333.333333333
14000000.0,13826666.666666666
22000000.0,20640000.0
5000000.0,4588666.666666667
6000000.0,5996666.666666667
22500000.0,22221111.11111111
19000000.0,20376666.666666668
1000000.0,545722.2222222221
2500000.0,2045333.3333333333
29500000.0,28840000.0
40000000.0,35650000.0
29500000.0,28426666.666666668
2000000.0,1396999.9999999998
17000000.0,16406666.666666666
4500000.0,4393333.333333333
5500000.0,5362666.666666667
22500000.0,22300000.0
3500000.0,3441722.2222222225
9000000.0,8850000.0
107500000.0,93693333.33333333
31000000.0,33490000.0
5500000.0,4748823.544973545
7500000.0,7202500.0
5000000.0,5670000.0
4500000.0,4465161.904761905
7500000.0,6494404.761904762
2600000.0,2503333.3333333335
5500000.0,5286000.0
9500000.0,10080000.0
34500000.0,34116666.666666664
18000000.0,16566666.666666666
1000000.0,1463333.3333333333
26500000.0,28586666.666666668
3500000.0,3607333.3333333335
19500000.0,15002666.666666666
4700000.0,4815333.333333333
4800000.0,5500333.333333333
8000000.0,7880000.0
7500000.0,7050472.222222223
21500000.0,20263333.333333332
14500000.0,15113333.333333334
2700000.0,2885733.3333333335
6500000.0,7266444.444444443
3600000.0,4157333.3333333335
7000000.0,7199777.777777778
27000000.0,29976666.666666668
4500000.0,4485822.222222221
